No.,Exch_AMEX,Exch_NASDAQ,Exch_NYSE
3228,,EZPW,PSA-PQ
3229,,FA,PSA-PR
3230,,FAAIX,PSA-PS
3231,,FAAR,PSB
3232,,FAASX,PSB-PX
3233,,FAATX,PSB-PY
3234,,FAB,PSB-PZ
3235,,FABCX,PSEC-PA
3236,,FABLX,PSF
3237,,FABZX,PSFE
3238,,FACDX,PSFE-WT
3239,,FACEX,PSLV
3240,,FACSX,PSN
3241,,FACTX,PSO
3242,,FAD,PSPC
3243,,FADCX,PSPC-UN
3244,,FADLX,PSPC-WT
3245,,FADMX,PSQH
3246,,FADTX,PSTG
3247,,FAETX,PSTH
3248,,FAFWX,PSTL
3249,,FAGIX,PSX
3250,,FAGNX,PSXP
3251,,FAIGX,PTA
3252,,FAIOX,PTR
3253,,FAITX,PTY
3254,,FAJTX,PUK
3255,,FAKDX,PUMP
3256,,FAKTX,PV
3257,,FALAX,PVG
3258,,FALIX,PVH
3259,,FALN,PVL
3260,,FAMEX,PV-UN
3261,,FAMFX,PV-WT
3262,,FAMI,PWR
3263,,FAMKX,PWSC
3264,,FAMRX,PX
3265,,FAMVX,PXD
3266,,FAMWX,PYN
3267,,FANG,PYS
3268,,FANH,PYT
3269,,FANIX,PZC
3270,,FAOTX,PZN
3271,,FAPGX,Q
3272,,FAPHX,QBTS
3273,,FAPTX,QBTS-WT
3274,,FAQTX,QCP
3275,,FARCX,QD
3276,,FARFX,QFTA
3277,,FARM,QFTA-UN
3278,,FARMX,QFTA-WT
3279,,FARO,QGEN
3280,,FARPX,QNGY
3281,,FARVX,QNGY-WT
3282,,FARWX,QS
3283,,FASDX,QSR
3284,,FASGX,QTS
3285,,FASIX,QTS-PA
3286,,FASMX,QTS-PB
3287,,FAST,QTWO
3288,,FAT,QUAD
3289,,FATBB,QUOT
3290,,FATBP,QVCC
3291,,FATBW,QVCD
3292,,FATE,QVOY
3293,,FATEX,R
3294,,FATP,RA
3295,,FATPU,RAAS
3296,,FATPW,RACE
3297,,FATRX,RAD
3298,,FATT,RAI
3299,,FATTX,RAMP
3300,,FAUMX,RBA
3301,,FAUTX,RBAC
3302,,FAWTX,RBAC-UN
3303,,FAXTX,RBC
3304,,FAZE,RBCP
3305,,FAZEW,RBLX
3306,,FBAKX,RBOT
3307,,FBALX,RBOT-WT
3308,,FBCVX,RBT
3309,,FBFWX,RBT-WT
3310,,FBGKX,RC
3311,,FBGRX,RCA
3312,,FBIFX,RCB
3313,,FBIIX,RCC
3314,,FBIO,RCFA
3315,,FBIOP,RCFA-UN
3316,,FBIOX,RCFA-WT
3317,,FBIZ,RCI
3318,,FBL,RCL
3319,,FBMPX,RC-PC
3320,,FBMS,RC-PE
3321,,FBNC,RCS
3322,,FBNDX,RCUS
3323,,FBOT,RDN
3324,,FBOTX,RDS-A
3325,,FBRX,RDS-B
3326,,FBSOX,RDW
3327,,FBTAX,RDW-WT
3328,,FBTIX,RDY
3329,,FBTTX,RE
3330,,FBYD,RELX
3331,,FBYDP,RENN
3332,,FBYDW,RERE
3333,,FBZ,RES
3334,,FCA,REV
3335,,FCAC,REVG
3336,,FCACU,REX
3337,,FCAEX,REXR
3338,,FCAGX,REXR-PB
3339,,FCAL,REXR-PC
3340,,FCAMX,REZI
3341,,FCAN,RF
3342,,FCAP,RFI
3343,,FCASX,RFL
3344,,FCAZX,RFM
3345,,FCBC,RFMZ
3346,,FCBFX,RFP
3347,,FCBP,RF-PB
3348,,FCCGX,RF-PC
3349,,FCCO,RF-PE
3350,,FCCY,RGA
3351,,FCEF,RGR
3352,,FCEL,RGS
3353,,FCFAX,RGT
3354,,FCFP,RH
3355,,FCFS,RHI
3356,,FCFWX,RHP
3357,,FCFXX,RICE
3358,,FCGIX,RICE-UN
3359,,FCHKX,RIG
3360,,FCHPX,RIO
3361,,FCIGX,RIT
3362,,FCIRX,RITM
3363,,FCIVX,RITM-PA
3364,,FCMXX,RITM-PB
3365,,FCNCA,RITM-PC
3366,,FCNCO,RITM-PD
3367,,FCNCP,RIV
3368,,FCNTX,RIV-PA
3369,,FCNYX,RJAC
3370,,FCONX,RJAC-UN
3371,,FCPAX,RJAC-WT
3372,,FCPCX,RJF
3373,,FCPEX,RJF-PA
3374,,FCPGX,RJF-PB
3375,,FCPIX,RKLY
3376,,FCPVX,RKLY-WT
3377,,FCRD,RKT
3378,,FCRDX,RKTA
3379,,FCRFX,RKUS
3380,,FCRSX,RL
3381,,FCRVX,RLGY
3382,,FCRWX,RLI
3383,,FCS,RLJ
3384,,FCSDX,RLJ-PA
3385,,FCSTX,RLTY
3386,,FCTFX,RLX
3387,,FCTGX,RM
3388,,FCUV,RMAX
3389,,FCVIX,RMD
3390,,FCVSX,RMI
3391,,FCVT,RMM
3392,,FCYIX,RMMZ
3393,,FDBC,RMO
3394,,FDCAX,RMP
3395,,FDCF,RMPL-P
3396,,FDCGX,RMT
3397,,FDCPX,RNG
3398,,FDEEX,RNGR
3399,,FDEGX,RNP
3400,,FDEQX,RNR
3401,,FDEWX,RNR-PE
3402,,FDFAX,RNR-PF
3403,,FDFF,RNR-PG
3404,,FDFIX,ROG
3405,,FDGFX,ROK
3406,,FDGRX,ROL
3407,,FDIF,RONI
3408,,FDIG,RONI-UN
3409,,FDIGX,RONI-WT
3410,,FDIV,ROSS
3411,,FDIVX,ROSS-UN
3412,,FDKLX,ROSS-WT
3413,,FDKVX,ROT
3414,,FDLSX,RPM
3415,,FDLXX,RPT
3416,,FDMMX,RPT-PD
3417,,FDMT,RQI
3418,,FDMXX,RRAC
3419,,FDNI,RRAC-UN
3420,,FDRXX,RRAC-WT
3421,,FDSCX,RRC
3422,,FDSSX,RRD
3423,,FDSVX,RRX
3424,,FDT,RS
3425,,FDTRX,RSF
3426,,FDTS,RSG
3427,,FDTX,RSI
3428,,FDUS,RSKD
3429,,FDUSG,RSO
3430,,FDUSZ,RSPC
3431,,FDVAX,RSPD
3432,,FDVIX,RSPH
3433,,FDVLX,RSPM
3434,,FEAM,RSPN
3435,,FEATX,RSPP
3436,,FEBO,RSPR
3437,,FECGX,RSPS
3438,,FEDDX,RSPT
3439,,FEGIX,RSPU
3440,,FEGOX,RTO
3441,,FEGRX,RTP
3442,,FEIC,RTX
3443,,FEIM,RVI
3444,,FELAX,RVLV
3445,,FELCX,RVT
3446,,FELE,RVTY
3447,,FELIX,RWT
3448,,FELTX,RWT-PA
3449,,FEM,RXN
3450,,FEMA,RXO
3451,,FEMACX,RY
3452,,FEMB,RYAM
3453,,FEMKX,RYAN
3454,,FEMS,RYB
3455,,FEMY,RYI
3456,,FENC,RYN
3457,,FEOPX,RY-PT
3458,,FEP,RZA
3459,,FEPI,RZB
3460,,FEQIX,RZC
3461,,FEQTX,S
3462,,FERCX,SA
3463,,FERIX,SAB
3464,,FESGX,SAF
3465,,FESOX,SAFE
3466,,FETKX,SAH
3467,,FEUZ,SAIC
3468,,FEVIX,SAIL
3469,,FEX,SAJ
3470,,FEXD,SAK
3471,,FEXDR,SAM
3472,,FEXDU,SAN
3473,,FEXDW,SAND
3474,,FEXPX,SAP
3475,,FEYAX,SAR
3476,,FEYCX,SAT
3477,,FEYE,SATX
3478,,FEYIX,SATX-WTA
3479,,FEYTX,SAVE
3480,,FFANX,SAY
3481,,FFBC,SAZ
3482,,FFBFX,SB
3483,,FFBSX,SBBA
3484,,FFBW,SBG
3485,,FFEBX,SBH
3486,,FFEGX,SBI
3487,,FFFAX,SBII
3488,,FFFCX,SBII-UN
3489,,FFFDX,SBII-WT
3490,,FFFEX,SBOW
3491,,FFFFX,SB-PC
3492,,FFFGX,SB-PD
3493,,FFFHX,SBR
3494,,FFFVX,SBS
3495,,FFGCX,SBSW
3496,,FFGRX,SC
3497,,FFHL,SCA
3498,,FFIC,SCCF
3499,,FFIDX,SCCG
3500,,FFIE,SCCO
3501,,FFIEW,SCD
3502,,FFIJX,SCE-PG
3503,,FFIN,SCE-PH
3504,,FFIOX,SCE-PJ
3505,,FFIRX,SCE-PK
3506,,FFIV,SCE-PL
3507,,FFKT,SCHW
3508,,FFLDX,SCHW-PD
3509,,FFLEX,SCHW-PJ
3510,,FFNOX,SCI
3511,,FFNW,SCL
3512,,FFOPX,SCM
3513,,FFRHX,SCPE
3514,,FFSFX,SCS
3515,,FFSIX,SCU
3516,,FFSLX,SCUA
3517,,FFTGX,SCUA-UN
3518,,FFTHX,SCUA-WT
3519,,FFTMX,SCVX-UN
3520,,FFVFX,SCX
3521,,FFWM,SD
3522,,FFXSX,SDHY
3523,,FGADX,SDRL
3524,,FGBFX,SE
3525,,FGBI,SEAH
3526,,FGBIP,SEAL-PA
3527,,FGDFX,SEAL-PB
3528,,FGDKX,SEAS
3529,,FGEN,SEDA
3530,,FGF,SEDA-UN
3531,,FGFAX,SEDA-WT
3532,,FGFPP,SEE
3533,,FGFRX,SEM
3534,,FGHNX,SEMR
3535,,FGI,SEND
3536,,FGILX,SEP
3537,,FGIWW,SES
3538,,FGM,SES-WT
3539,,FGMC,SF
3540,,FGMCU,SFB
3541,,FGMCW,SFBS
3542,,FGMNX,SFE
3543,,FGOVX,SFG
3544,,FGRIX,SFL
3545,,FGRSX,SFN
3546,,FGRTX,SF-PB
3547,,FGSKX,SF-PC
3548,,FGTRX,SF-PD
3549,,FHANX,SFTW
3550,,FHAOX,SFUN
3551,,FHAPX,SG
3552,,FHAQX,SGFY
3553,,FHARX,SGHC
3554,,FHASX,SGU
3555,,FHATX,SHAK
3556,,FHAUX,SHAP
3557,,FHAVX,SHAP-UN
3558,,FHAWX,SHAP-WT
3559,,FHAYX,SHEL
3560,,FHAZX,SHG
3561,,FHB,SHI
3562,,FHBZX,SHLX
3563,,FHCCX,SHO
3564,,FHCIX,SHOP
3565,,FHIFX,SHO-PH
3566,,FHIGX,SHO-PI
3567,,FHK,SHPW
3568,,FHKAX,SHPW-WT
3569,,FHKCX,SHW
3570,,FHKIX,SI
3571,,FHLKX,SID
3572,,FHLSX,SIF
3573,,FHLT,SIG
3574,,FHLTU,SII
3575,,FHLTW,SI-PA
3576,,FHSNX,SIRE
3577,,FHTX,SITC
3578,,FHYTX,SITC-PA
3579,,FIAC,SITE
3580,,FIACU,SIX
3581,,FIACW,SJI
3582,,FIAEX,SJIJ
3583,,FIARX,SJIM
3584,,FIASX,SJIV
3585,,FIATX,SJM
3586,,FIBK,SJR
3587,,FIBUX,SJT
3588,,FICDX,SJW
3589,,FICNX,SKE
3590,,FICS,SKIL
3591,,FICSX,SKIL-WT
3592,,FICV,SKLZ
3593,,FICVU,SKM
3594,,FICVW,SKT
3595,,FID,SKX
3596,,FIDGX,SKY
3597,,FIDLX,SLAC
3598,,FIDSX,SLAC-UN
3599,,FIDZX,SLAC-WT
3600,,FIENX,SLB
3601,,FIEUX,SLCA
3602,,FIFNX,SLF
3603,,FIGFX,SLG
3604,,FIGIX,SLGN
3605,,FIGRX,SLG-PI
3606,,FIGTX,SLH
3607,,FIHBX,SLND
3608,,FIHFX,SLQT
3609,,FIIRX,SLVM
3610,,FIIVX,SM
3611,,FIKFX,SMAR
3612,,FIKHX,SMFG
3613,,FIKQX,SMG
3614,,FILRX,SMHI
3615,,FIMIX,SMLP
3616,,FIMKX,SMM
3617,,FIMPX,SMP
3618,,FIMSX,SMR
3619,,FIMVX,SMRT
3620,,FINE,SMR-WT
3621,,FINL,SMWB
3622,,FINM,SN
3623,,FINMU,SNA
3624,,FINMW,SNAP
3625,,FINW,SNDA
3626,,FINX,SNDR
3627,,FIOAX,SNN
3628,,FIOCX,SNOW
3629,,FIOFX,SNP
3630,,FIOIX,SNPR
3631,,FIOTX,SNV
3632,,FIP,SNV-PD
3633,,FIPDX,SNV-PE
3634,,FIPFX,SNX
3635,,FIPWV,SO
3636,,FIREX,SOAC
3637,,FIRFX,SOAC-UN
3638,,FIRMX,SOGO
3639,,FIRNX,SOI
3640,,FIROX,SOJA
3641,,FIRQX,SOJB
3642,,FIRRX,SOJC
3643,,FIRSX,SOJD
3644,,FIRVX,SOJE
3645,,FISCX,SOL
3646,,FISEX,SOLN
3647,,FISI,SON
3648,,FISMX,SONX
3649,,FISPX,SONY
3650,,FISV,SOR
3651,,FISVX,SOS
3652,,FITB,SOV
3653,,FITBI,SPAQ
3654,,FITBO,SPAQ-UN
3655,,FITBP,SPB
3656,,FITFX,SPCE
3657,,FITIX,SPDG
3658,,FITLX,SPE
3659,,FITSX,SPE-PC
3660,,FITTX,SPFR
3661,,FIUIX,SPFR-UN
3662,,FIVE,SPG
3663,,FIVFX,SPGI
3664,,FIVLX,SPG-PJ
3665,,FIVN,SPGS
3666,,FIVR,SPGS-UN
3667,,FIXD,SPGS-WT
3668,,FIXIX,SPH
3669,,FIXRX,SPHR
3670,,FIXT,SPIR
3671,,FIXX,SPIR-WT
3672,,FIZZ,SPLP
3673,,FJIFX,SPLP-PA
3674,,FJP,SPNT
3675,,FJPNX,SPNT-PB
3676,,FJRLX,SPNV
3677,,FJSCX,SPNV-UN
3678,,FKASX,SPOT
3679,,FKDNX,SPR
3680,,FKIFX,SPRU
3681,,FKINX,SPXC
3682,,FKKSX,SPXX
3683,,FKO,SQ
3684,,FKU,SQM
3685,,FKWL,SQNS
3686,,FLAC,SQSP
3687,,FLACU,SQZ
3688,,FLACW,SR
3689,,FLAPX,SRC
3690,,FLATX,SRC-PA
3691,,FLBDX,SRE
3692,,FLCCX,SREA
3693,,FLCEX,SRFM
3694,,FLCGX,SRG
3695,,FLCHX,SRG-PA
3696,,FLCOX,SRI
3697,,FLCSX,SRL
3698,,FLDFX,SRLP
3699,,FLDGX,SR-PA
3700,,FLDM,SRT
3701,,FLEX,SRV
3702,,FLFGX,SSD
3703,,FLFV,SSL
3704,,FLFVR,SSNI
3705,,FLFVU,SST
3706,,FLFVW,SSTK
3707,,FLGC,SST-WT
3708,,FLGEX,SSU
3709,,FLGT,SSWA
3710,,FLGXX,ST
3711,,FLIC,STAG
3712,,FLIFX,STAR
3713,,FLJ,STAR-PD
3714,,FLL,STAR-PG
3715,,FLMFX,STAR-PI
3716,,FLMN,STC
3717,,FLMNW,STE
3718,,FLN,STEM
3719,,FLNC,STET
3720,,FLNT,STET-UN
3721,,FLOWX,STET-WT
3722,,FLPSX,STEW
3723,,FLRAX,STG
3724,,FLRYX,STJ
3725,,FLSPX,STK
3726,,FLTMX,STL
3727,,FLUX,STLA
3728,,FLVCX,STL-PA
3729,,FLVEX,STM
3730,,FLWS,STN
3731,,FLXN,STNG
3732,,FLXS,STON
3733,,FLXSX,STOR
3734,,FLYCX,STPC
3735,,FLYW,STR
3736,,FMAGX,STRE
3737,,FMAO,STRE-UN
3738,,FMB,STRE-WT
3739,,FMBH,STRP
3740,,FMBI,STR-WT
3741,,FMBIO,STRY
3742,,FMBIP,STRY-WT
3743,,FMBIX,STT
3744,,FMCKX,STT-PD
3745,,FMCLX,STT-PG
3746,,FMCRX,STVN
3747,,FMCSX,STWD
3748,,FMDCX,STXT
3749,,FMDGX,STZ
3750,,FMED,STZ-B
3751,,FMEDX,SU
3752,,FMEIX,SUAC
3753,,FMER,SUAC-UN
3754,,FMET,SUAC-WT
3755,,FMFAX,SUI
3756,,FMFCX,SUM
3757,,FMFEX,SUN
3758,,FMFTX,SUNL
3759,,FMGIX,SUP
3760,,FMHI,SUPV
3761,,FMHTX,SUZ
3762,,FMI,SVU
3763,,FMIEX,SVV
3764,,FMIHX,SWBK
3765,,FMIJX,SWC
3766,,FMILX,SWCH
3767,,FMIMX,SWH
3768,,FMIV,SWI
3769,,FMIVU,SWK
3770,,FMIVW,SWM
3771,,FMIXX,SWN
3772,,FMIYX,SWT
3773,,FMK,SWX
3774,,FMNB,SWZ
3775,,FMOXX,SXC
3776,,FMPCX,SXI
3777,,FMPFX,SXT
3778,,FMPOX,SYF
3779,,FMRAX,SYF-PA
3780,,FMRHX,SYK
3781,,FMSDX,SYX
3782,,FMSFX,SYY
3783,,FMST,SZC
3784,,FMSTW,T
3785,,FMSTX,TAC
3786,,FMTX,TACA
3787,,FNARX,TACA-UN
3788,,FNBG,TAFM
3789,,FNBGX,TAK
3790,,FNCB,TAL
3791,,FNCFX,TALO
3792,,FNCH,TAP
3793,,FNCMX,TAP-A
3794,,FNDSX,TARO
3795,,FNETX,TBB
3796,,FNFG,TBC
3797,,FNGAX,TBG
3798,,FNGR,TBI
3799,,FNHC,TCI
3800,,FNIDX,TCN
3801,,FNILX,TCOA
3802,,FNJHX,TCOA-UN
3803,,FNJXX,TCOA-WT
3804,,FNK,TCRZ
3805,,FNKO,TCS
3806,,FNLC,TD
3807,,FNMIX,TDA
3808,,FNMTX,TDC
3809,,FNORX,TDCX
3810,,FNPFX,TDF
3811,,FNSOX,TDG
3812,,FNSTX,TDI
3813,,FNSXX,TDOC
3814,,FNTAX,TDS
3815,,FNTEU,TDS-PU
3816,,FNTEX,TDS-PV
3817,,FNVT,TDW
3818,,FNVTU,TDW-WTA
3819,,FNVTW,TDW-WTB
3820,,FNWB,TDY
3821,,FNWD,TEAF
3822,,FNX,TECK
3823,,FNY,TEF
3824,,FNYXX,TEI
3825,,FOBAX,TEL
3826,,FOCCX,TEN
3827,,FOCPX,TEO
3828,,FOCS,TEP
3829,,FOCWX,TEVA
3830,,FOGRX,TEX
3831,,FOHFX,TFC
3832,,FOHTX,TFC-PI
3833,,FOIIX,TFC-PO
3834,,FOLD,TFC-PR
3835,,FOMXX,TFII
3836,,FONE,TFPM
3837,,FONPX,TFSA
3838,,FONR,TFX
3839,,FOOLX,TG
3840,,FORA,TGH
3841,,FORD,TGH-PA
3842,,FORE,TGH-PB
3843,,FOREW,TGI
3844,,FORL,TGLS
3845,,FORM,TGNA
3846,,FORR,TGP
3847,,FORTY,TGR
3848,,FOSBX,TGR-UN
3849,,FOSCX,TGR-WT
3850,,FOSFX,TGS
3851,,FOSIX,TGT
3852,,FOSKX,THC
3853,,FOSL,THG
3854,,FOSLL,THO
3855,,FOUN,THQ
3856,,FOUNU,THR
3857,,FOUNW,THS
3858,,FOVAX,THW
3859,,FOX,TIMB
3860,,FOXA,TINV
3861,,FOXF,TINV-UN
3862,,FOXW,TINV-WT
3863,,FOXWU,TISI
3864,,FOXWW,TIXT
3865,,FPA,TJX
3866,,FPACX,TK
3867,,FPADX,TKC
3868,,FPAY,TKO
3869,,FPBFX,TKR
3870,,FPCGX,TLGA
3871,,FPHAX,TLGA-UN
3872,,FPIFX,TLGA-WT
3873,,FPIVX,TLK
3874,,FPMAX,TLYS
3875,,FPRAX,TM
3876,,FPSVX,TMAC
3877,,FPTXX,TMAC-UN
3878,,FPURX,TMAC-WT
3879,,FPVSX,TME
3880,,FPXE,TMHC
3881,,FPXI,TMO
3882,,FPXTX,TMST
3883,,FQIFX,TMX
3884,,FQUAX,TNC
3885,,FRAF,TNET
3886,,FRAPX,TNH
3887,,FRBA,TNK
3888,,FRBK,TNL
3889,,FRBN,TNP
3890,,FRBNU,TNP-PD
3891,,FRBNW,TNP-PE
3892,,FRDPX,TNP-PF
3893,,FREAX,TOL
3894,,FREE,TOST
3895,,FREEW,TOVX
3896,,FREEX,T-PA
3897,,FREQ,TPB
3898,,FRESX,TPC
3899,,FRFZX,T-PC
3900,,FRG,TPGH-UN
3901,,FRGAP,TPGY
3902,,FRGI,TPGY-UN
3903,,FRGT,TPGY-WT
3904,,FRHC,TPH
3905,,FRIFX,TPL
3906,,FRIMX,TPR
3907,,FRLA,TPTA
3908,,FRLAU,TPVG
3909,,FRLAW,TPVY
3910,,FRLN,TPX
3911,,FRME,TPZ
3912,,FRMEP,TR
3913,,FRNAX,TRAQ
3914,,FRNCX,TRAQ-UN
3915,,FRNIX,TRAQ-WT
3916,,FRNKX,TRC
3917,,FRNTX,TRCA
3918,,FROG,TRCA-UN
3919,,FRON,TRCA-WT
3920,,FRONU,TREB
3921,,FRONW,TREC
3922,,FRP,TREX
3923,,FRPH,TRGP
3924,,FRPT,TRI
3925,,FRQIX,TRIS
3926,,FRSG,TRIS-UN
3927,,FRSGU,TRIS-WT
3928,,FRSGW,TRN
3929,,FRSGX,TRNO
3930,,FRSH,TROX
3931,,FRSSX,TRP
3932,,FRST,TRQ
3933,,FRSX,TRR
3934,,FRTA,TRTL
3935,,FRTX,TRTL-UN
3936,,FRVLX,TRTL-WT
3937,,FRW,TRTN
3938,,FRWAU,TRTN-PA
3939,,FRWAW,TRTN-PB
3940,,FRZA,TRTN-PC
3941,,FSAGX,TRTN-PD
3942,,FSAHX,TRTN-PE
3943,,FSAIX,TRTX
3944,,FSANX,TRTX-PC
3945,,FSAVX,TRU
3946,,FSAXX,TRV
3947,,FSAZX,TS
3948,,FSBBX,TSE
3949,,FSBC,TSI
3950,,FSBCX,TSLX
3951,,FSBK,TSM
3952,,FSBKX,TSN
3953,,FSBW,TSNU
3954,,FSCAX,TSPQ
3955,,FSCCX,TSPQ-UN
3956,,FSCHX,TSPQ-WT
3957,,FSCOX,TSQ
3958,,FSCPX,TT
3959,,FSCRX,TTC
3960,,FSCSX,TTE
3961,,FSCVX,TTI
3962,,FSCWX,TTM
3963,,FSDAX,TTP
3964,,FSDIX,TU
3965,,FSDPX,TUFN
3966,,FSEA,TUP
3967,,FSEAX,TUYA
3968,,FSEBX,TV
3969,,FSEGX,TVC
3970,,FSELX,TVE
3971,,FSENX,TVPT
3972,,FSESX,TWI
3973,,FSEYX,TWLO
3974,,FSFG,TWN
3975,,FSGGX,TWND
3976,,FSGIX,TWND-UN
3977,,FSHBX,TWNI
3978,,FSHCX,TWNI-UN
3979,,FSHOX,TWNI-WT
3980,,FSHSX,TWO
3981,,FSIDX,TWOA
3982,,FSII,TWO-PA
3983,,FSIKX,TWO-PB
3984,,FSIMX,TWO-PC
3985,,FSKAX,TWTR
3986,,FSLBX,TWX
3987,,FSLCX,TX
3988,,FSLEX,TXO
3989,,FSLR,TXT
3990,,FSLSX,TY
3991,,FSLVX,TYG
3992,,FSMAX,TYL
3993,,FSMDX,TY-P
3994,,FSMEX,U
3995,,FSMSX,UA
3996,,FSMVX,UAA
3997,,FSPCX,UAM
3998,,FSPGX,UAN
3999,,FSPHX,UBA
4000,,FSPSX,UBER
4001,,FSPTX,UBP
4002,,FSRBX,UBP-PH
4003,,FSRD,UBP-PK
4004,,FSRDW,UBS
4005,,FSRFX,UCP
4006,,FSRNX,UDR
4007,,FSRPX,UE
4008,,FSRRX,UFI
4009,,FSRX,UFS
4010,,FSRXU,UGI
4011,,FSRXW,UGIC
4012,,FSSI,UGP
4013,,FSSIU,UHAL
4014,,FSSIW,UHN
4015,,FSSMX,UHS
4016,,FSSNX,UHT
4017,,FSTBX,UI
4018,,FSTCX,UIS
4019,,FSTFX,UL
4020,,FSTGX,UMC
4021,,FSTKX,UMH
4022,,FSTLX,UMH-PC
4023,,FSTR,UMH-PD
4024,,FSTRX,UNF
4025,,FSTTX,UNFI
4026,,FSTX,UNH
4027,,FSUPX,UNM
4028,,FSUTX,UNMA
4029,,FSV,UNP
4030,,FSVLX,UNVR
4031,,FSYJX,UP
4032,,FSYRX,UPH
4033,,FSZ,UPH-WT
4034,,FTA,UPS
4035,,FTAA,UP-WT
4036,,FTAAU,URI
4037,,FTAAW,USA
4038,,FTAG,USAC
4039,,FTAI,USB
4040,,FTAIM,USB-PA
4041,,FTAIN,USB-PH
4042,,FTAIO,USB-PP
4043,,FTAIP,USB-PQ
4044,,FTANX,USB-PR
4045,,FTASX,USB-PS
4046,,FTBFX,USDP
4047,,FTC,USER
4048,,FTCI,USFD
4049,,FTCLX,USM
4050,,FTCS,USNA
4051,,FTCV,USPH
4052,,FTCVU,USX
4053,,FTCVW,UTF
4054,,FTDR,UTG
4055,,FTDS,UTI
4056,,FTEK,UTL
4057,,FTEKX,UTZ
4058,,FTEL,UVE
4059,,FTEMX,UVV
4060,,FTEXX,UWMC
4061,,FTFMX,UWMC-WT
4062,,FTFPX,UZA
4063,,FTFT,UZB
4064,,FTGC,UZC
4065,,FTGWX,UZD
4066,,FTHCX,UZE
4067,,FTHI,UZF
4068,,FTHM,V
4069,,FTHNX,VAC
4070,,FTHRX,VAL
4071,,FTHSX,VALE
4072,,FTIEX,VAL-WT
4073,,FTIHX,VAPO
4074,,FTII,VATE
4075,,FTIIU,VBF
4076,,FTIIW,VCIF
4077,,FTIRX,VCRA
4078,,FTISX,VCV
4079,,FTIV,VCXB
4080,,FTIVU,VCXB-UN
4081,,FTLB,VCXB-WT
4082,,FTMKX,VEC
4083,,FTNT,VEDL
4084,,FTOC,VEEV
4085,,FTOCU,VEL
4086,,FTPA,VER
4087,,FTPAU,VER-PF
4088,,FTPAW,VET
4089,,FTQGX,VFC
4090,,FTQI,VFL
4091,,FTRBX,VGAC
4092,,FTRE,VGI
4093,,FTRGX,VGM
4094,,FTRI,VGR
4095,,FTRNX,VHC
4096,,FTRP,VHI
4097,,FTRSX,VIAO
4098,,FTRVX,VICI
4099,,FTRWX,VIPS
4100,,FTSDX,VIST
4101,,FTSL,VIV
4102,,FTSM,VKI
4103,,FTUAX,VKQ
4104,,FTUCX,VLD
4105,,FTUIX,VLD-WT
4106,,FTVI,VLN
4107,,FTVIU,VLN-WT
4108,,FTVIW,VLO
4109,,FTXD,VLP
4110,,FTXG,VLRS
4111,,FTXH,VLT
4112,,FTXL,VLTA
4113,,FTXN,VLTA-WT
4114,,FTXNX,VLTO
4115,,FTXO,VMC
4116,,FTXR,VMEM
4117,,FUAMX,VMI
4118,,FUEL,VMM
4119,,FUENX,VMO
4120,,FULC,VMW
4121,,FULT,VNCE
4122,,FULTP,VNE
4123,,FULVX,VNO
4124,,FUMBX,VNO-PL
4125,,FUNC,VNO-PM
4126,,FUND,VNO-PN
4127,,FUNDX,VNO-PO
4128,,FUNYX,VNT
4129,,FURAX,VNTR
4130,,FURCX,VOC
4131,,FURIX,VOYA
4132,,FUSB,VOYA-PB
4133,,FUSN,VPG
4134,,FUTU,VPV
4135,,FUV,VRE
4136,,FV,VRS
4137,,FVALX,VRT
4138,,FVAM,VRTV
4139,,FVATX,VSCO
4140,,FVC,VSH
4141,,FVCB,VSHY
4142,,FVDFX,VST
4143,,FVDKX,VSTO
4144,,FVE,VSTS
4145,,FWAA,VTA
4146,,FWAC,VTEX
4147,,FWAFX,VTLE
4148,,FWBI,VTMX
4149,,FWCFX,VTN
4150,,FWIFX,VTOL
4151,,FWMIX,VTR
4152,,FWOMX,VTS
4153,,FWONA,VVC
4154,,FWONK,VVI
4155,,FWP,VVNT
4156,,FWRD,VVR
4157,,FWRG,VVV
4158,,FWRLX,VVX
4159,,FWTFX,VYGG
4160,,FWWFX,VYGG-UN
4161,,FXAIX,VYGG-WT
4162,,FXCO,VYX
4163,,FXCOR,VZ
4164,,FXCOW,VZA
4165,,FXIFX,VZIO
4166,,FXNAX,W
4167,,FXNC,WAB
4168,,FYBR,WAL
4169,,FYC,WALA
4170,,FYMRX,WAL-PA
4171,,FYT,WARR
4172,,FYX,WAT
4173,,FZAAX,WAVC
4174,,FZABX,WBK
4175,,FZAEX,WBS
4176,,FZAHX,WBS-PF
4177,,FZAJX,WBS-PG
4178,,FZAMX,WBT
4179,,FZDXX,WBX
4180,,FZFXX,WCC
4181,,FZILX,WCC-PA
4182,,FZIPX,WCN
4183,,FZROX,WD
4184,,GAAEX,WDH
4185,,GABAX,WDI
4186,,GABBX,WDS
4187,,GABC,WE
4188,,GABEX,WEA
4189,,GABGX,WEAV
4190,,GABSX,WEBR
4191,,GABUX,WEC
4192,,GACIX,WEI
4193,,GACQ,WEL
4194,,GACQU,WELL
4195,,GACQW,WEL-UN
4196,,GAFFX,WEL-WT
4197,,GAGEX,WES
4198,,GAIA,WE-WT
4199,,GAIFX,WEX
4200,,GAIN,WF
4201,,GAINL,WFC
4202,,GAINM,WFC-PA
